status,polling_unit_code,presiding_officer_name_present,presiding_officer_signature_present,polling_agent_signature_present,black_stamp
exist and not blur,15/05/02/025,1.0,1.0,1.0,0
exist and not blur,36/14/08/009,1.0,1.0,1.0,0
exist and not blur,01/07/01/012,1.0,1.0,1.0,0
exist and not blur,36/03/06/013,1.0,1.0,0.0,1
exist and not blur,19/32/05/014,1.0,1.0,1.0,0
exist and not blur,01/02/04/061,0.0,1.0,1.0,1
exist and not blur,19/35/03/012,0.0,1.0,1.0,1
exist and not blur,14/10/04/006,1.0,1.0,1.0,0
exist and not blur,19/31/05/061,1.0,0.0,1.0,1
exist and not blur,13/02/06/002,1.0,0.0,1.0,1
exist and not blur,20/29/10/008,1.0,0.0,1.0,1
exist and not blur,19/07/11/007,1.0,1.0,1.0,0
exist and not blur,19/41/09/026,1.0,0.0,1.0,1
exist and not blur,36/05/02/014,1.0,1.0,0.0,1
exist and not blur,19/39/11/006,1.0,1.0,1.0,0
exist and not blur,16/15/08/007,1.0,1.0,1.0,0
exist and not blur,36/12/02/001,1.0,1.0,1.0,0
exist and not blur,19/04/06/007,1.0,1.0,0.0,1
exist and not blur,09/18/02/001,0.0,1.0,1.0,0
exist and not blur,20/21/11/010,0.0,0.0,0.0,0
exist and not blur,14/06/01/011,1.0,1.0,1.0,0
exist and not blur,14/04/10/019,1.0,0.0,1.0,1
exist and not blur,20/21/11/023,0.0,0.0,0.0,0
exist and not blur,14/07/10/006,0.0,0.0,1.0,0
exist and not blur,20/33/06/003,1.0,1.0,1.0,0
exist and not blur,19/09/03/001,1.0,1.0,1.0,0
exist and not blur,20/03/06/008,0.0,0.0,1.0,0
exist and not blur,20/16/09/007,1.0,1.0,1.0,0
exist and not blur,20/32/01/010,1.0,1.0,1.0,0
exist and not blur,01/10/02/009,0.0,1.0,1.0,0
exist and not blur,19/29/08/003,0.0,1.0,1.0,1
exist and not blur,19/28/04/014,1.0,1.0,1.0,0
exist and not blur,09/12/03/006,1.0,1.0,0.0,1
exist and not blur,16/23/09/010,1.0,1.0,0.0,1
exist and not blur,15/07/05/021,0.0,1.0,1.0,1
exist and not blur,19/34/07/012,0.0,1.0,1.0,1
exist and not blur,13/13/03/005,1.0,1.0,0.0,0
exist and not blur,19/38/08/018,1.0,1.0,1.0,0
exist and not blur,13/11/08/012,1.0,1.0,1.0,0
exist and not blur,16/09/08/013,0.0,1.0,1.0,1
exist and not blur,19/24/02/001,0.0,1.0,1.0,1
exist and not blur,19/10/04/014,0.0,1.0,1.0,1
exist and not blur,14/08/17/015,0.0,1.0,1.0,1
exist and not blur,20/02/04/023,1.0,0.0,1.0,1
exist and not blur,13/11/12/002,0.0,1.0,1.0,1
exist and not blur,36/13/09/007,1.0,0.0,1.0,1
exist and not blur,19/26/06/007,1.0,1.0,1.0,0
exist and not blur,01/02/02/006,1.0,1.0,0.0,1
exist and not blur,19/10/01/005,0.0,1.0,1.0,1
exist and not blur,13/08/02/009,1.0,1.0,1.0,0
exist and not blur,36/08/01/019,0.0,1.0,1.0,1
exist and not blur,19/15/08/013,1.0,1.0,1.0,0
exist and not blur,16/07/08/003,1.0,1.0,1.0,0
exist and not blur,15/01/06/045,0.0,1.0,1.0,1
exist and not blur,36/05/07/014,0.0,1.0,1.0,0
exist and not blur,19/38/03/039,1.0,1.0,1.0,0
exist and not blur,20/02/02/001,1.0,1.0,1.0,0
exist and not blur,16/09/07/019,1.0,1.0,1.0,0
exist and not blur,09/02/05/022,0.0,1.0,1.0,1
exist and not blur,19/25/07/014,0.0,1.0,1.0,1
exist and not blur,19/27/04/009,0.0,1.0,1.0,0
exist and not blur,14/17/12/001,1.0,1.0,1.0,0
exist and not blur,19/41/10/018,0.0,1.0,1.0,1
exist and not blur,01/03/07/014,1.0,1.0,1.0,0
exist and not blur,14/17/03/017,0.0,1.0,1.0,1
exist and not blur,19/03/03/014,1.0,1.0,1.0,0
exist and not blur,19/02/09/009,1.0,1.0,1.0,0
exist and not blur,19/29/02/001,1.0,1.0,1.0,0
exist and not blur,19/24/05/008,1.0,1.0,0.0,1
exist and not blur,01/01/07/018,0.0,1.0,1.0,1
exist and not blur,20/19/01/001,0.0,1.0,1.0,1
exist and not blur,13/07/02/007,1.0,0.0,1.0,1
exist and not blur,19/31/08/004,0.0,1.0,1.0,1
exist and not blur,01/12/09/011,0.0,1.0,1.0,1
exist and not blur,14/14/20/012,1.0,1.0,0.0,1
exist and not blur,14/16/08/019,1.0,1.0,1.0,0
exist and not blur,20/27/03/014,0.0,1.0,1.0,0
exist and not blur,13/04/01/012,1.0,1.0,1.0,0
exist and not blur,16/12/03/010,1.0,0.0,1.0,1
exist and not blur,16/22/07/003,1.0,1.0,0.0,1
exist and not blur,16/25/03/008,1.0,1.0,1.0,0
exist and not blur,09/03/01/010,1.0,1.0,1.0,0
exist and not blur,20/18/09/015,1.0,1.0,1.0,0
exist and not blur,19/08/04/010,1.0,1.0,1.0,0
exist and not blur,19/22/08/009,1.0,1.0,1.0,0
exist and not blur,19/31/07/024,1.0,1.0,0.0,1
exist and not blur,19/02/04/005,0.0,0.0,1.0,0
exist and not blur,20/16/05/018,0.0,1.0,1.0,1
exist and not blur,16/08/09/013,1.0,1.0,1.0,0
exist and not blur,14/04/10/024,1.0,0.0,1.0,1
exist and not blur,36/06/06/008,1.0,1.0,1.0,0
exist and not blur,36/07/08/030,1.0,1.0,1.0,0
exist and not blur,20/17/01/019,0.0,1.0,1.0,1
exist and not blur,19/22/08/002,1.0,1.0,1.0,0
exist and not blur,36/13/10/023,0.0,1.0,1.0,1
exist and not blur,16/25/03/017,1.0,1.0,1.0,0
exist and not blur,19/07/05/142,0.0,1.0,1.0,1
exist and not blur,15/04/10/020,1.0,1.0,1.0,0
exist and not blur,09/02/08/003,1.0,1.0,1.0,0
exist and not blur,01/15/03/040,1.0,1.0,1.0,0
exist and not blur,14/01/06/007,0.0,1.0,1.0,1
exist and not blur,09/02/05/019,0.0,1.0,1.0,1
exist and not blur,19/25/08/021,0.0,1.0,1.0,1
exist and not blur,09/02/08/013,1.0,1.0,1.0,0
exist and not blur,20/04/10/007,0.0,1.0,1.0,1
exist and not blur,16/23/06/009,1.0,1.0,0.0,1
exist and not blur,19/10/01/015,1.0,1.0,1.0,0
exist and not blur,09/06/02/003,0.0,1.0,1.0,1
exist and not blur,19/29/03/007,1.0,1.0,1.0,0
exist and not blur,14/14/20/014,1.0,1.0,1.0,0
exist and not blur,19/08/10/012,0.0,1.0,1.0,1
exist and not blur,19/40/03/010,0.0,1.0,1.0,1
exist and not blur,19/21/11/027,0.0,1.0,1.0,1
exist and not blur,19/27/06/017,1.0,1.0,1.0,0
exist and not blur,13/14/04/006,0.0,1.0,1.0,1
exist and not blur,19/03/09/005,1.0,1.0,1.0,0
exist and not blur,09/14/05/007,1.0,1.0,1.0,0
exist and not blur,19/36/09/003,1.0,0.0,1.0,1
exist and not blur,16/19/01/011,0.0,1.0,1.0,1
exist and not blur,16/11/04/027,1.0,1.0,1.0,0
exist and not blur,19/27/02/019,1.0,1.0,1.0,0
exist and not blur,16/03/09/008,0.0,1.0,1.0,1
exist and not blur,16/03/02/010,1.0,1.0,0.0,0
exist and not blur,20/26/03/016,1.0,0.0,1.0,0
exist and not blur,01/07/04/008,0.0,1.0,1.0,0
exist and not blur,20/34/07/012,1.0,1.0,0.0,0
exist and not blur,09/11/03/017,1.0,1.0,1.0,0
exist and not blur,01/01/12/010,1.0,0.0,1.0,1
exist and not blur,15/07/03/005,1.0,1.0,1.0,0
exist and not blur,19/31/05/136,0.0,1.0,1.0,1
exist and not blur,13/05/08/014,1.0,1.0,1.0,0
exist and not blur,16/10/07/001,1.0,1.0,1.0,0
exist and not blur,01/15/03/027,0.0,0.0,1.0,0
